-0.0149,lie
-0.0129,steal
-0.0097,smile
-0.0071,murder
-0.0055,help
-0.0035,have a gun
-0.0034,clap
-0.003,hug
0.0023,torture
0.0029,misinform
0.0035,attack
0.0036,pollute
0.0044,kill
0.0051,admire
0.0079,slander
0.0084,waste
0.0086,be
0.0095,travel
0.0102,cheer
0.0103,remarry
0.0123,cuddle
0.0124,have
0.0128,apologize
0.0131,harm
0.0132,become
0.0132,charm
0.0142,misdirect
0.0145,drink
0.0153,enjoy
0.0153,eat
0.0156,divorce
0.0168,damage
0.0169,traumatize
0.0181,talk
0.0183,relax
0.0185,thank
0.0189,compliment
0.0203,illegalize
0.0215,love
0.0227,go
0.0233,rape
0.0233,pursue
0.0234,care
0.0248,volunteer
0.0261,cherish
0.0272,destroy
0.0279,treasure
0.0285,assault
0.0287,appreciate
0.0305,welcome
0.0306,slaughter
0.0318,poison
0.0319,congratulate
0.0319,destruct
0.032,victimise
0.0329,acknowledge
0.0338,greet
0.0343,borrow
0.0348,dream
0.0357,inspire
0.0373,brutalise
0.0373,comfort
0.0377,misadvise
0.0379,celebrate
0.0397,bully
0.0401,misreport
0.044,trust
0.046,marry
0.0468,blame
