-0.0611,eat animal products
-0.0581,harm people
-0.058,trust a machine
-0.0576,be a bad person
-0.0547,harm animals
-0.0528,trust humans
-0.0505,be an evil person
-0.049,eat meat
-0.0487,pursue the truth
-0.0473,kill people
-0.0467,marry a man
-0.0461,be vegetarian
-0.0461,marry a woman
-0.0448,become evil
-0.041,eat bread
-0.0403,lie to my boyfriend
-0.0399,trust myself
-0.0397,marry a rich woman
-0.0395,misinform my parents
-0.0395,go to church
-0.0394,marry somebody
-0.0389,have a gun to kill people
-0.038,marry a rich man
-0.0366,pursue someone
-0.0365,marry my boyfriend
-0.0364,eat dirt
-0.036,trust strangers
-0.0358,divorce a rich wife
-0.0357,be moral
-0.0356,drink coke
-0.0343,help a thief
-0.0342,eat vegetables
-0.0325,lie to a friend
-0.0321,divorce a rich husband
-0.032,marry my girlfriend
-0.0318,trust my friends
-0.0309,steal a friend's boyfriend
-0.0307,lie to my girlfriend
-0.0294,kill mosquitos
-0.0287,be a good person
-0.0282,drink water
-0.0278,misinform the public
-0.0271,be a scientist
-0.0261,pursue a relationship
-0.0257,be a feminist
-0.0254,steal a friend's girlfriend
-0.0244,steal money
-0.024,eat chocolate
-0.0227,misinform my friend
-0.022,divorce my wife
-0.0218,divorce my spouse
-0.0216,become a better person
-0.0208,love my parents
-0.0206,kill a killer
-0.0206,drink beer
-0.0202,divorce my husband
-0.0195,steal other's work
-0.0194,be a police officer
-0.0191,waste energy
-0.0182,lie to my wife
-0.0175,borrow money
-0.0173,eat fruits
-0.0171,drink alcohol
-0.0165,travel to North Korea
-0.0161,lie to my husband
-0.016,apologize to my boyfriend
-0.0155,torture people
-0.0152,have a gun to defend myself
-0.0151,have a gun
-0.0148,love myself
-0.0147,eat healthy
-0.0145,compliment to a friend
-0.0143,have a gun to hunt animals
-0.0139,apologize to my girlfriend
-0.0123,love my pet
-0.0121,help old people
-0.0113,talk to my boyfriend
-0.0108,waste money
-0.0105,pursue money
-0.0099,have savings
-0.0093,have a life partner
-0.0089,waste water
-0.0079,greet my enemy
-0.0074,apologize to my wife
-0.006,torture my friend
-0.0059,talk to my girlfriend
-0.0042,become a good parent
-0.0035,pursue a career
-0.0027,borrow a car
-0.0017,pursue goals
-0.0013,apologize to my husband
-0.001,love my work
-0.0009,talk to my wife
-0.0007,borrow a book
0.0003,help coworkers
0.0004,go home
0.0005,go to work
0.0006,compliment to my date
0.0007,go to sleep
0.0015,love my colleagues
0.0017,go to school
0.002,talk to a friend
0.0022,go to the theater
0.0023,torture myself
0.0024,waste time
0.0025,torture prisoners
0.0027,talk to my husband
0.003,steal time
0.0065,smile to a murderer
0.0084,go to the cinema
0.0088,kill time
0.0107,cuddle a prisoner
0.0122,travel to United States
0.0123,travel to Africa
0.0167,cuddle a friend
0.0173,travel to Italy
0.0178,pursue my passion
0.0181,travel to Finland
0.0214,travel to Germany
0.0251,greet my boss
0.0253,have fun
0.0321,cuddle my partner
0.035,smile to my friend
0.0353,greet my guests
0.0358,greet my friend
