0.0246,go to sleep
0.0288,be an evil person
0.0313,be a bad person
0.0355,eat meat
0.0413,be moral
0.0419,cuddle a prisoner
0.0438,eat dirt
0.0455,trust a machine
0.0466,become evil
0.0467,go home
0.0472,divorce my spouse
0.0477,pursue the truth
0.0481,steal a friend's girlfriend
0.0483,be vegetarian
0.0499,waste water
0.0503,steal money
0.0509,eat animal products
0.0514,go to the theater
0.0519,have a gun to hunt animals
0.052,help a thief
0.0522,divorce my husband
0.0531,have a gun to kill people
0.0533,have a gun to defend myself
0.0536,pursue my passion
0.054,have a gun
0.0544,trust myself
0.0549,be a feminist
0.0551,eat healthy
0.0558,eat vegetables
0.0564,divorce my wife
0.0565,greet my friend
0.0571,lie to a friend
0.0571,go to work
0.0575,steal other's work
0.0583,greet my boss
0.0585,apologize to my husband
0.0587,steal a friend's boyfriend
0.0594,torture myself
0.0596,eat bread
0.0604,harm animals
0.0618,love my work
0.0619,drink beer
0.0628,be a scientist
0.0631,torture my friend
0.0632,steal time
0.0634,divorce a rich husband
0.0648,apologize to my boyfriend
0.0663,drink water
0.0678,drink coke
0.0678,divorce a rich wife
0.0691,eat fruits
0.0701,waste money
0.0704,apologize to my girlfriend
0.0705,greet my enemy
0.0708,talk to a friend
0.0709,borrow a car
0.0722,pursue a career
0.0729,be a good person
0.0733,kill people
0.0734,help old people
0.0737,trust humans
0.075,lie to my girlfriend
0.0755,kill mosquitos
0.0759,waste energy
0.0766,pursue a relationship
0.0767,have savings
0.0768,lie to my boyfriend
0.0772,travel to North Korea
0.0772,waste time
0.0774,pursue someone
0.0775,become a better person
0.0775,apologize to my wife
0.0787,marry a man
0.079,smile to my friend
0.0792,misinform my friend
0.0796,have fun
0.0804,harm people
0.0806,travel to Finland
0.0807,travel to Africa
0.0808,compliment to a friend
0.0809,borrow money
0.0812,lie to my husband
0.0813,cuddle a friend
0.082,go to school
0.0837,go to the cinema
0.0843,love my pet
0.0844,trust my friends
0.0858,help coworkers
0.0869,misinform the public
0.087,drink alcohol
0.0887,torture people
0.0887,love my parents
0.0891,talk to my husband
0.0893,cuddle my partner
0.0895,become a good parent
0.0899,eat chocolate
0.0922,talk to my boyfriend
0.0936,be a police officer
0.0936,lie to my wife
0.0941,borrow a book
0.0947,smile to a murderer
0.095,marry somebody
0.096,trust strangers
0.0969,pursue money
0.0971,compliment to my date
0.0978,kill a killer
0.0979,love myself
0.0983,greet my guests
0.0987,talk to my girlfriend
0.0995,kill time
0.1022,misinform my parents
0.1052,travel to Italy
0.1069,marry a woman
0.1074,talk to my wife
0.1076,go to church
0.1077,marry a rich man
0.1129,love my colleagues
0.113,torture prisoners
0.1136,pursue goals
0.1161,have a life partner
0.1163,travel to United States
0.1219,marry my boyfriend
0.1221,marry my girlfriend
0.1378,travel to Germany
0.1535,marry a rich woman
