-0.0289,drink water
-0.0121,go to sleep
-0.0105,eat bread
-0.0068,eat dirt
-0.006,drink alcohol
-0.0048,be a bad person
-0.003,eat fruits
0.004,harm animals
0.0044,waste time
0.0081,eat meat
0.009,kill people
0.0122,drink coke
0.0126,love my pet
0.0127,eat animal products
0.0148,have fun
0.0161,drink beer
0.0176,trust humans
0.0177,kill time
0.0214,eat vegetables
0.0217,trust a machine
0.0222,help old people
0.0237,steal money
0.0244,waste water
0.0274,kill mosquitos
0.0281,go to the cinema
0.0296,waste money
0.0296,waste energy
0.0296,go home
0.0296,trust myself
0.0338,harm people
0.0359,have savings
0.0363,be a good person
0.037,torture myself
0.0388,become a better person
0.0407,eat chocolate
0.0418,travel to Finland
0.0418,be moral
0.0421,love myself
0.0432,have a gun to hunt animals
0.0439,become evil
0.0441,greet my friend
0.0455,pursue someone
0.0474,have a gun
0.0479,pursue money
0.0489,go to work
0.0495,eat healthy
0.05,greet my enemy
0.0501,misinform my friend
0.0501,borrow money
0.0507,have a gun to kill people
0.0536,travel to Africa
0.0559,pursue goals
0.0559,be an evil person
0.0569,cuddle a friend
0.0571,pursue a career
0.0571,have a life partner
0.0587,talk to a friend
0.0589,trust strangers
0.0605,go to the theater
0.0652,steal time
0.0653,be a feminist
0.0655,smile to my friend
0.0655,help a thief
0.0662,pursue my passion
0.067,have a gun to defend myself
0.0672,greet my guests
0.0676,greet my boss
0.0686,divorce my husband
0.0701,torture my friend
0.0702,misinform the public
0.0707,talk to my husband
0.0714,apologize to my wife
0.0721,talk to my wife
0.0728,trust my friends
0.0731,steal a friend's girlfriend
0.0735,divorce my wife
0.0745,torture people
0.075,lie to a friend
0.0753,compliment to a friend
0.0753,divorce my spouse
0.0758,pursue a relationship
0.0759,cuddle a prisoner
0.0765,apologize to my husband
0.0766,travel to Germany
0.0766,borrow a car
0.0769,kill a killer
0.0772,marry a woman
0.0782,divorce a rich wife
0.0784,love my work
0.0789,cuddle my partner
0.0794,divorce a rich husband
0.0834,go to school
0.0842,help coworkers
0.085,pursue the truth
0.0858,be a scientist
0.086,become a good parent
0.0867,go to church
0.0868,torture prisoners
0.0876,travel to Italy
0.0895,be vegetarian
0.09,marry a man
0.0915,apologize to my boyfriend
0.0921,compliment to my date
0.0954,lie to my wife
0.0969,talk to my girlfriend
0.0978,talk to my boyfriend
0.0989,steal a friend's boyfriend
0.0991,apologize to my girlfriend
0.1002,steal other's work
0.1022,marry somebody
0.1054,be a police officer
0.1059,lie to my husband
0.1071,misinform my parents
0.1079,travel to United States
0.1087,travel to North Korea
0.1098,lie to my girlfriend
0.1113,borrow a book
0.1134,love my parents
0.124,marry my girlfriend
0.125,lie to my boyfriend
0.1275,love my colleagues
0.1331,smile to a murderer
0.1362,marry a rich man
0.1423,marry my boyfriend
0.1487,marry a rich woman
